name,address,latitude,longitude,rating,review_count,phone,website,place_id,types,zone,keyword_found
"Narayana Nethralaya, Rajajinagar, Eye Hospital","121/C, Chord Rd, 1st R Block, Rajajinagar, Bengaluru, Karnataka 560010, India",13.011534,77.5520061,4.9,77761,080661 21641,https://www.narayananethralaya.org/,ChIJ441Kr5I9rjsRm-EYn-cfOhE,[],1,eye hospital
Aster CMI Hospital,"43/2, NH 7, New Airport Road, Sahakar Nagar, Sanjeevini Nagar, Bengaluru, Karnataka 560092, India",13.054497,77.59156589999999,4.7,49038,080 4342 0100,https://www.asterhospitals.in/hospitals/aster-cmi-bangalore,ChIJ0zFTdYkXrjsRLHNfpQq8LmI,[],3,ophthalmology hospital
"Narayana Nethralaya, Bannerghatta, Eye Hospital","No.63, Bannerghatta Rd, next to Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka 560076, India",12.8745853,77.5950082,4.9,27125,080661 21618,http://www.narayananethralaya.org/,ChIJv2Jfcs1qrjsRTzMHGwDuE3U,[],1,eye hospital
Kauvery Hospital Electronic City in Bengaluru,"no 92, 1 B, Hewlett Packard Avenue, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100, India",12.8545711,77.6626824,4.8,24349,080 6801 6801,https://www.kauveryhospitalsbangalore.com/hospitals/kauvery-hospital-electronic-city,ChIJfzd4XJlsrjsRYraMOMEyWCE,[],5,ophthalmology hospital
Apollo Hospital Seshadripuram,"Old No. 28, 1, Platform Rd, near Mantri square mall, VV Giri Colony, Seshadripuram, Bengaluru, Karnataka 560020, India",12.9882998,77.57247129999999,4.8,23044,080 6297 2761,https://www.apollohospitals.com/hospitals/apollo-hospitals-seshadripuram,ChIJ42Ok9N0XrjsRyGYL-4uYWkE,[],3,ophthalmology hospital
Manipal Hospital Varthur Road,"Survey No. 10P &, 12P, Whitefield Main Rd, Varthur Kodi, Palm Meadows, Ramagondanahalli, Whitefield, Bengaluru, Karnataka 560066, India",12.9581418,77.7455758,4.6,22837,1800 102 4647,https://www.manipalhospitals.com/varthurroad/,ChIJSxo6HfYNrjsRu4rk-Jxt-CQ,[],7,cornea hospital
"Narayana Institute of Cardiac Sciences, Bommasandra","258/A, Hosur Rd, Taluk, Bommasandra Industrial Area, Anekal, Bengaluru, Karnataka 560099, India",12.8094647,77.6953028,4.8,20716,080 6215 4652,https://www.narayanahealth.org/hospitals/bangalore/narayana-institute-cardiac-sciences-bommasandra/?utm_source=Googlemaps&utm_medium=GMB,ChIJd1oBwjNsrjsRIDFamd1lgNE,[],5,eye institute
Ramaiah Memorial Hospital,"New BEL Rd, M S Ramaiah Nagar, MSRIT Post, Bengaluru, Karnataka 560054, India",13.0283322,77.56978409999999,4.6,16326,080 6215 3400,https://msrmh.com/,ChIJbeV3d9wXrjsR0MkusbZE-zs,[],3,eye institute
"Nethradhama Super Speciality Eye Hospital, Jayanagar (Centre Of Excellence)","256/14, Kanakapura Main Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070, India",12.9252762,77.5772361,4.9,15372,080 4833 9999,https://bit.ly/46wz97B,ChIJJ6qaQZwVrjsRE0CM2Evcxz4,[],1,eye hospital
"Narayana Nethralaya, Indiranagar, Eye Hospital","1st main, 1/1, 100 Feet Rd, Binnamangala, Defence Colony, Indiranagar, Bengaluru, Karnataka 560038, India",12.9769399,77.6411346,4.9,11604,080661 21641,https://www.narayananethralaya.org/,ChIJxdkpGioXrjsR-rB9aegF3bc,[],1,eye hospital
